"","longitude","latitude","eventDate"
"436",-115.754461,30.944839,2020-02-04
"437",-122.112111,37.99194,2020-03-04
"438",-115.6436,30.865973,2020-03-05
"439",-115.711592,30.922276,2020-03-05
"440",-115.6688,30.947181,2020-03-05
"441",-115.743543,30.814954,2020-03-05
"442",-115.624985,30.818501,2020-03-05
"443",-115.693497,30.981305,2020-03-05
"444",-115.686057,30.899465,2020-03-05
"445",-115.710176,30.812098,2020-03-05
"446",-115.617266,30.997296,2020-03-05
"447",-115.629874,30.945506,2020-03-05
"448",-115.709061,30.887755,2020-03-05
"449",-115.718522,30.84894,2020-03-05
"450",-115.756343,30.854586,2020-03-03
"451",-115.625933,30.821949,2020-03-03
"452",-115.879164,31.074472,2020-03-07
"453",-115.924823,31.053526,2020-03-07
"454",-122.161091,37.970691,2020-03-06
"455",-122.7268,38.463249,2020-03-11
"456",-120.149892,34.470044,2020-03-12
"457",-123.650261,39.200559,2020-03-16
"458",-120.002834,34.40312,2020-03-20
"459",-115.667243,30.881428,2020-03-25
"460",-115.691587,30.948292,2020-03-25
"461",-116.097105,30.951073,2020-03-25
"462",-115.746962,30.902734,2020-03-25
"463",-115.66665,30.873142,2020-03-25
"464",-115.74202,30.908487,2020-03-25
"465",-121.155994,36.630372,2020-03-29
"466",-115.656258,30.882285,2020-03-25
"467",-115.673888,30.880437,2020-03-25
"468",-122.120525,36.999085,2020-03-30
"469",-121.815336,37.432221,2020-03-13
"470",-121.789517,37.800181,2020-03-31
"471",-121.616364,37.887249,2020-03-31
"472",-121.102766,36.410024,2020-03-07
"473",-122.669493,37.9176,2020-04-01
"474",-122.114831,37.803783,2020-04-08
"475",-122.185577,37.98117,2020-04-08
"476",-121.608917,37.820175,2020-04-08
"477",-122.089008,37.988716,2020-04-08
"478",-120.513475,38.710002,2020-04-13
"479",-122.474195,37.788891,2020-04-14
"480",-122.510297,38.246407,2020-04-16
"481",-115.715022,30.964668,2020-04-20
"482",-115.644931,30.829289,2020-04-21
"483",-122.024551,37.943199,2020-04-24
"484",-122.407033,37.558669,2020-04-10
"485",-120.060194,34.458506,2020-04-25
